station,time,jour
auber,5:34,semaine
auber,5:41,semaine
auber,5:49,semaine
auber,5:56,semaine
auber,6:02,semaine
auber,6:08,semaine
auber,6:13,semaine
auber,6:17,semaine
auber,6:21,semaine
auber,6:25,semaine
auber,6:29,semaine
auber,6:33,semaine
auber,6:36,semaine
auber,6:41,semaine
auber,6:45,semaine
auber,6:48,semaine
auber,6:51,semaine
auber,6:54,semaine
auber,6:56,semaine
auber,6:59,semaine
auber,7:03,semaine
auber,7:06,semaine
auber,7:10,semaine
auber,7:14,semaine
auber,7:18,semaine
auber,7:21,semaine
auber,7:24,semaine
auber,7:27,semaine
auber,7:30,semaine
auber,7:34,semaine
auber,7:36,semaine
auber,7:39,semaine
auber,7:41,semaine
auber,7:43,semaine
auber,7:46,semaine
auber,7:48,semaine
auber,7:50,semaine
auber,7:53,semaine
auber,7:55,semaine
auber,7:57,semaine
auber,8:00,semaine
auber,8:02,semaine
auber,8:04,semaine
auber,8:07,semaine
auber,8:09,semaine
auber,8:11,semaine
auber,8:14,semaine
auber,8:16,semaine
auber,8:18,semaine
auber,8:21,semaine
auber,8:23,semaine
auber,8:25,semaine
auber,8:28,semaine
auber,8:30,semaine
auber,8:32,semaine
auber,8:35,semaine
auber,8:37,semaine
auber,8:39,semaine
auber,8:42,semaine
auber,8:44,semaine
auber,8:46,semaine
auber,8:49,semaine
auber,8:51,semaine
auber,8:53,semaine
auber,8:56,semaine
auber,8:58,semaine
auber,9:00,semaine
auber,9:03,semaine
auber,9:05,semaine
auber,9:07,semaine
auber,9:10,semaine
auber,9:12,semaine
auber,9:14,semaine
auber,9:17,semaine
auber,9:19,semaine
auber,9:21,semaine
auber,9:24,semaine
auber,9:26,semaine
auber,9:28,semaine
auber,9:31,semaine
auber,9:33,semaine
auber,9:35,semaine
auber,9:38,semaine
auber,9:41,semaine
auber,9:43,semaine
auber,9:45,semaine
auber,9:48,semaine
auber,9:51,semaine
auber,9:55,semaine
auber,9:59,semaine
auber,10:03,semaine
auber,10:07,semaine
auber,10:11,semaine
auber,10:15,semaine
auber,10:19,semaine
auber,10:23,semaine
auber,10:27,semaine
auber,10:31,semaine
auber,10:35,semaine
auber,10:39,semaine
auber,10:43,semaine
auber,10:47,semaine
auber,10:51,semaine
auber,10:55,semaine
auber,10:59,semaine
auber,11:03,semaine
auber,11:07,semaine
auber,11:11,semaine
auber,11:15,semaine
auber,11:19,semaine
auber,11:23,semaine
auber,11:27,semaine
auber,11:31,semaine
auber,11:35,semaine
auber,11:39,semaine
auber,11:43,semaine
auber,11:47,semaine
auber,11:51,semaine
auber,11:55,semaine
auber,11:59,semaine
auber,12:03,semaine
auber,12:07,semaine
auber,12:11,semaine
auber,12:15,semaine
auber,12:19,semaine
auber,12:23,semaine
auber,12:27,semaine
auber,12:31,semaine
auber,12:35,semaine
auber,12:39,semaine
auber,12:43,semaine
auber,12:47,semaine
auber,12:51,semaine
auber,12:55,semaine
auber,12:59,semaine
auber,13:03,semaine
auber,13:07,semaine
auber,13:11,semaine
auber,13:15,semaine
auber,13:19,semaine
auber,13:23,semaine
auber,13:27,semaine
auber,13:31,semaine
auber,13:35,semaine
auber,13:39,semaine
auber,13:43,semaine
auber,13:47,semaine
auber,13:51,semaine
auber,13:55,semaine
auber,13:59,semaine
auber,14:03,semaine
auber,14:07,semaine
auber,14:11,semaine
auber,14:15,semaine
auber,14:19,semaine
auber,14:23,semaine
auber,14:27,semaine
auber,14:31,semaine
auber,14:35,semaine
auber,14:39,semaine
auber,14:43,semaine
auber,14:47,semaine
auber,14:51,semaine
auber,14:55,semaine
auber,14:59,semaine
auber,15:03,semaine
auber,15:07,semaine
auber,15:11,semaine
auber,15:15,semaine
auber,15:19,semaine
auber,15:23,semaine
auber,15:27,semaine
auber,15:31,semaine
