station,time,jour
auber,5:15,semaine
auber,5:24,semaine
auber,5:31,semaine
auber,5:35,semaine
auber,5:39,semaine
auber,5:44,semaine
auber,5:49,semaine
auber,5:54,semaine
auber,5:58,semaine
auber,6:04,semaine
auber,6:09,semaine
auber,6:14,semaine
auber,6:19,semaine
auber,6:24,semaine
auber,6:29,semaine
auber,6:32,semaine
auber,6:35,semaine
auber,6:39,semaine
auber,6:44,semaine
auber,6:47,semaine
auber,6:50,semaine
auber,6:54,semaine
auber,6:59,semaine
auber,7:02,semaine
auber,7:05,semaine
auber,7:09,semaine
auber,7:14,semaine
auber,7:17,semaine
auber,7:20,semaine
auber,7:24,semaine
auber,7:26,semaine
auber,7:29,semaine
auber,7:31,semaine
auber,7:33,semaine
auber,7:36,semaine
auber,7:38,semaine
auber,7:41,semaine
auber,7:43,semaine
auber,7:45,semaine
auber,7:48,semaine
auber,7:50,semaine
auber,7:52,semaine
auber,7:55,semaine
auber,7:57,semaine
auber,7:59,semaine
auber,8:02,semaine
auber,8:04,semaine
auber,8:06,semaine
auber,8:09,semaine
auber,8:11,semaine
auber,8:13,semaine
auber,8:16,semaine
auber,8:18,semaine
auber,8:20,semaine
auber,8:23,semaine
auber,8:25,semaine
auber,8:27,semaine
auber,8:30,semaine
auber,8:32,semaine
auber,8:34,semaine
auber,8:37,semaine
auber,8:39,semaine
auber,8:41,semaine
auber,8:44,semaine
auber,8:46,semaine
auber,8:48,semaine
auber,8:51,semaine
auber,8:53,semaine
auber,8:55,semaine
auber,8:58,semaine
auber,9:00,semaine
auber,9:02,semaine
auber,9:05,semaine
auber,9:07,semaine
auber,9:09,semaine
auber,9:12,semaine
auber,9:14,semaine
auber,9:16,semaine
auber,9:19,semaine
auber,9:21,semaine
auber,9:23,semaine
auber,9:26,semaine
auber,9:28,semaine
auber,9:30,semaine
auber,9:33,semaine
auber,9:35,semaine
auber,9:38,semaine
auber,9:40,semaine
auber,9:43,semaine
auber,9:45,semaine
auber,9:49,semaine
auber,9:53,semaine
auber,9:57,semaine
auber,10:01,semaine
auber,10:05,semaine
auber,10:09,semaine
auber,10:12,semaine
auber,10:15,semaine
auber,10:19,semaine
auber,10:22,semaine
auber,10:25,semaine
auber,10:29,semaine
auber,10:33,semaine
auber,10:37,semaine
auber,10:41,semaine
auber,10:45,semaine
auber,10:49,semaine
auber,10:53,semaine
auber,10:57,semaine
auber,11:01,semaine
auber,11:05,semaine
auber,11:09,semaine
auber,11:13,semaine
auber,11:17,semaine
auber,11:21,semaine
auber,11:25,semaine
auber,11:29,semaine
auber,11:33,semaine
auber,11:37,semaine
auber,11:41,semaine
auber,11:45,semaine
auber,11:49,semaine
auber,11:53,semaine
auber,11:57,semaine
auber,12:01,semaine
auber,12:05,semaine
auber,12:09,semaine
auber,12:13,semaine
auber,12:17,semaine
auber,12:21,semaine
auber,12:25,semaine
auber,12:29,semaine
auber,12:33,semaine
auber,12:37,semaine
auber,12:41,semaine
auber,12:45,semaine
auber,12:49,semaine
auber,12:53,semaine
auber,12:57,semaine
auber,13:01,semaine
auber,13:05,semaine
auber,13:09,semaine
auber,13:13,semaine
auber,13:17,semaine
auber,13:21,semaine
auber,13:25,semaine
auber,13:29,semaine
auber,13:33,semaine
auber,13:37,semaine
auber,13:41,semaine
auber,13:45,semaine
auber,13:49,semaine
auber,13:53,semaine
auber,13:57,semaine
auber,14:01,semaine
auber,14:05,semaine
auber,14:09,semaine
auber,14:13,semaine
auber,14:17,semaine
auber,14:21,semaine
auber,14:25,semaine
auber,14:29,semaine
auber,14:33,semaine
auber,14:37,semaine
auber,14:41,semaine
auber,14:45,semaine
auber,14:49,semaine
auber,14:53,semaine
auber,14:57,semaine
auber,15:01,semaine
auber,15:05,semaine
auber,15:09,semaine
auber,15:13,semaine
auber,15:17,semaine
auber,15:20,semaine
auber,15:25,semaine
auber,15:29,semaine
auber,15:33,semaine
auber,15:37,semaine
auber,15:41,semaine
auber,15:45,semaine
auber,15:49,semaine
auber,15:53,semaine
auber,15:57,semaine
auber,16:01,semaine
auber,16:05,semaine
auber,16:09,semaine
auber,16:13,semaine
auber,16:17,semaine
auber,16:21,semaine
auber,16:25,semaine
auber,16:29,semaine
auber,16:33,semaine
auber,16:37,semaine
auber,16:41,semaine
auber,16:45,semaine
auber,16:49,semaine
auber,16:53,semaine
auber,16:57,semaine
auber,17:01,semaine
auber,17:04,semaine
auber,17:06,semaine
auber,17:09,semaine
auber,17:11,semaine
auber,17:14,semaine
auber,17:16,semaine
auber,17:19,semaine
auber,17:21,semaine
auber,17:24,semaine
auber,17:26,semaine
auber,17:29,semaine
auber,17:31,semaine
auber,17:34,semaine
auber,17:36,semaine
auber,17:39,semaine
auber,17:41,semaine
auber,17:44,semaine
auber,17:46,semaine
auber,17:49,semaine
auber,17:51,semaine
auber,17:54,semaine
auber,17:56,semaine
auber,17:59,semaine
auber,18:01,semaine
auber,18:04,semaine
auber,18:06,semaine
auber,18:09,semaine
auber,18:11,semaine
auber,18:14,semaine
auber,18:16,semaine
auber,18:19,semaine
auber,18:21,semaine
auber,18:24,semaine
auber,18:26,semaine
auber,18:29,semaine
auber,18:31,semaine
auber,18:34,semaine
auber,18:36,semaine
auber,18:39,semaine
auber,18:41,semaine
auber,18:44,semaine
auber,18:46,semaine
auber,18:49,semaine
auber,18:51,semaine
auber,18:54,semaine
auber,18:56,semaine
auber,18:59,semaine
auber,19:01,semaine
auber,19:04,semaine
auber,19:06,semaine
auber,19:09,semaine
auber,19:11,semaine
auber,19:14,semaine
auber,19:16,semaine
auber,19:19,semaine
auber,19:21,semaine
auber,19:24,semaine
auber,19:26,semaine
auber,19:29,semaine
auber,19:31,semaine
auber,19:34,semaine
auber,19:36,semaine
auber,19:39,semaine
auber,19:41,semaine
auber,19:44,semaine
auber,19:46,semaine
auber,19:49,semaine
auber,19:51,semaine
auber,19:54,semaine
auber,19:56,semaine
auber,20:00,semaine
auber,20:03,semaine
auber,20:06,semaine
auber,20:08,semaine
auber,20:12,semaine
auber,20:15,semaine
auber,20:18,semaine
auber,20:22,semaine
auber,20:25,semaine
auber,20:29,semaine
auber,20:33,semaine
auber,20:38,semaine
auber,20:42,semaine
auber,20:47,semaine
auber,20:53,semaine
auber,20:58,semaine
auber,21:03,semaine
auber,21:08,semaine
auber,21:16,semaine
auber,21:24,semaine
auber,21:31,semaine
auber,21:39,semaine
auber,21:46,semaine
auber,21:55,semaine
auber,22:04,semaine
auber,22:09,semaine
auber,22:14,semaine
auber,22:23,semaine
auber,22:31,semaine
auber,22:39,semaine
auber,22:46,semaine
auber,22:54,semaine
auber,23:01,semaine
auber,23:09,semaine
auber,23:16,semaine
auber,23:24,semaine
auber,23:31,semaine
auber,23:38,semaine
auber,23:46,semaine
auber,23:54,semaine
auber,0:01,semaine
auber,0:09,semaine
auber,0:16,semaine
auber,0:24,semaine
auber,0:33,semaine
auber,0:42,semaine
auber,0:46,semaine
chatelet,5:18,semaine
chatelet,5:26,semaine
chatelet,5:33,semaine
chatelet,5:37,semaine
chatelet,5:41,semaine
chatelet,5:46,semaine
chatelet,5:51,semaine
chatelet,5:56,semaine
chatelet,6:00,semaine
chatelet,6:06,semaine
chatelet,6:11,semaine
chatelet,6:16,semaine
chatelet,6:21,semaine
chatelet,6:26,semaine
chatelet,6:31,semaine
chatelet,6:35,semaine
chatelet,6:38,semaine
chatelet,6:41,semaine
chatelet,6:46,semaine
chatelet,6:50,semaine
chatelet,6:53,semaine
chatelet,6:56,semaine
chatelet,7:01,semaine
chatelet,7:05,semaine
chatelet,7:08,semaine
chatelet,7:11,semaine
chatelet,7:16,semaine
chatelet,7:20,semaine
chatelet,7:23,semaine
chatelet,7:27,semaine
chatelet,7:29,semaine
chatelet,7:32,semaine
chatelet,7:34,semaine
chatelet,7:36,semaine
chatelet,7:39,semaine
chatelet,7:41,semaine
chatelet,7:44,semaine
chatelet,7:46,semaine
chatelet,7:48,semaine
chatelet,7:50,semaine
chatelet,7:53,semaine
chatelet,7:55,semaine
chatelet,7:57,semaine
chatelet,8:00,semaine
chatelet,8:02,semaine
chatelet,8:04,semaine
chatelet,8:07,semaine
chatelet,8:09,semaine
chatelet,8:11,semaine
chatelet,8:14,semaine
chatelet,8:16,semaine
chatelet,8:18,semaine
chatelet,8:21,semaine
chatelet,8:23,semaine
chatelet,8:25,semaine
chatelet,8:28,semaine
chatelet,8:30,semaine
chatelet,8:32,semaine
chatelet,8:35,semaine
chatelet,8:37,semaine
chatelet,8:39,semaine
chatelet,8:42,semaine
chatelet,8:44,semaine
chatelet,8:46,semaine
chatelet,8:49,semaine
chatelet,8:51,semaine
chatelet,8:53,semaine
chatelet,8:56,semaine
chatelet,8:58,semaine
chatelet,9:00,semaine
chatelet,9:03,semaine
chatelet,9:05,semaine
chatelet,9:07,semaine
chatelet,9:10,semaine
chatelet,9:12,semaine
chatelet,9:14,semaine
chatelet,9:17,semaine
chatelet,9:19,semaine
chatelet,9:21,semaine
chatelet,9:24,semaine
chatelet,9:26,semaine
chatelet,9:28,semaine
chatelet,9:31,semaine
chatelet,9:33,semaine
chatelet,9:36,semaine
chatelet,9:38,semaine
chatelet,9:41,semaine
chatelet,9:43,semaine
chatelet,9:46,semaine
chatelet,9:48,semaine
chatelet,9:52,semaine
chatelet,9:56,semaine
chatelet,10:00,semaine
chatelet,10:04,semaine
chatelet,10:08,semaine
chatelet,10:12,semaine
chatelet,10:15,semaine
chatelet,10:18,semaine
chatelet,10:21,semaine
chatelet,10:24,semaine
chatelet,10:28,semaine
chatelet,10:32,semaine
chatelet,10:36,semaine
chatelet,10:40,semaine
chatelet,10:44,semaine
chatelet,10:48,semaine
chatelet,10:52,semaine
chatelet,10:56,semaine
chatelet,11:00,semaine
chatelet,11:04,semaine
chatelet,11:08,semaine
chatelet,11:12,semaine
chatelet,11:16,semaine
chatelet,11:20,semaine
chatelet,11:24,semaine
chatelet,11:28,semaine
chatelet,11:32,semaine
chatelet,11:36,semaine
chatelet,11:40,semaine
chatelet,11:44,semaine
chatelet,11:48,semaine
chatelet,11:52,semaine
chatelet,11:56,semaine
chatelet,12:00,semaine
chatelet,12:04,semaine
chatelet,12:08,semaine
chatelet,12:12,semaine
chatelet,12:16,semaine
chatelet,12:20,semaine
chatelet,12:24,semaine
chatelet,12:28,semaine
chatelet,12:32,semaine
chatelet,12:36,semaine
chatelet,12:40,semaine
chatelet,12:44,semaine
chatelet,12:48,semaine
chatelet,12:52,semaine
chatelet,12:56,semaine
chatelet,13:00,semaine
chatelet,13:04,semaine
chatelet,13:08,semaine
chatelet,13:12,semaine
chatelet,13:16,semaine
chatelet,13:20,semaine
chatelet,13:24,semaine
chatelet,13:28,semaine
chatelet,13:32,semaine
chatelet,13:36,semaine
chatelet,13:40,semaine
chatelet,13:44,semaine
chatelet,13:48,semaine
chatelet,13:52,semaine
chatelet,13:56,semaine
chatelet,14:00,semaine
chatelet,14:04,semaine
chatelet,14:08,semaine
chatelet,14:12,semaine
chatelet,14:16,semaine
chatelet,14:20,semaine
chatelet,14:24,semaine
chatelet,14:28,semaine
chatelet,14:32,semaine
chatelet,14:36,semaine
chatelet,14:40,semaine
chatelet,14:44,semaine
chatelet,14:48,semaine
chatelet,14:52,semaine
chatelet,14:56,semaine
chatelet,15:00,semaine
chatelet,15:04,semaine
chatelet,15:08,semaine
chatelet,15:12,semaine
chatelet,15:16,semaine
chatelet,15:20,semaine
chatelet,15:23,semaine
chatelet,15:28,semaine
chatelet,15:32,semaine
chatelet,15:36,semaine
chatelet,15:40,semaine
chatelet,15:44,semaine
chatelet,15:48,semaine
chatelet,15:52,semaine
chatelet,15:56,semaine
chatelet,16:00,semaine
chatelet,16:04,semaine
chatelet,16:08,semaine
chatelet,16:12,semaine
chatelet,16:16,semaine
chatelet,16:20,semaine
chatelet,16:24,semaine
chatelet,16:28,semaine
chatelet,16:32,semaine
chatelet,16:36,semaine
chatelet,16:40,semaine
chatelet,16:44,semaine
chatelet,16:48,semaine
chatelet,16:52,semaine
chatelet,16:56,semaine
chatelet,17:00,semaine
chatelet,17:04,semaine
chatelet,17:07,semaine
chatelet,17:09,semaine
chatelet,17:12,semaine
chatelet,17:14,semaine
chatelet,17:17,semaine
chatelet,17:19,semaine
chatelet,17:22,semaine
chatelet,17:24,semaine
chatelet,17:27,semaine
chatelet,17:29,semaine
chatelet,17:32,semaine
chatelet,17:34,semaine
chatelet,17:37,semaine
chatelet,17:39,semaine
chatelet,17:42,semaine
chatelet,17:44,semaine
chatelet,17:47,semaine
chatelet,17:49,semaine
chatelet,17:52,semaine
chatelet,17:54,semaine
chatelet,17:57,semaine
chatelet,17:59,semaine
chatelet,18:02,semaine
chatelet,18:04,semaine
chatelet,18:07,semaine
chatelet,18:09,semaine
chatelet,18:12,semaine
chatelet,18:14,semaine
chatelet,18:17,semaine
chatelet,18:19,semaine
chatelet,18:22,semaine
chatelet,18:24,semaine
chatelet,18:27,semaine
chatelet,18:29,semaine
chatelet,18:32,semaine
chatelet,18:34,semaine
chatelet,18:37,semaine
chatelet,18:39,semaine
chatelet,18:42,semaine
chatelet,18:44,semaine
chatelet,18:47,semaine
chatelet,18:49,semaine
chatelet,18:52,semaine
chatelet,18:54,semaine
chatelet,18:57,semaine
chatelet,18:59,semaine
chatelet,19:02,semaine
chatelet,19:04,semaine
chatelet,19:07,semaine
chatelet,19:09,semaine
chatelet,19:12,semaine
chatelet,19:14,semaine
chatelet,19:17,semaine
chatelet,19:19,semaine
chatelet,19:22,semaine
chatelet,19:24,semaine
chatelet,19:27,semaine
chatelet,19:29,semaine
chatelet,19:32,semaine
chatelet,19:34,semaine
chatelet,19:37,semaine
chatelet,19:39,semaine
chatelet,19:42,semaine
chatelet,19:44,semaine
chatelet,19:47,semaine
chatelet,19:49,semaine
chatelet,19:52,semaine
chatelet,19:54,semaine
chatelet,19:57,semaine
chatelet,19:59,semaine
chatelet,20:03,semaine
chatelet,20:06,semaine
chatelet,20:09,semaine
