station,time,jour,period
chatelet,5:26,semaine,jan_2018
chatelet,5:32,semaine,jan_2018
chatelet,5:41,semaine,jan_2018
chatelet,5:44,semaine,jan_2018
chatelet,5:50,semaine,jan_2018
chatelet,5:56,semaine,jan_2018
chatelet,5:59,semaine,jan_2018
chatelet,6:05,semaine,jan_2018
chatelet,6:11,semaine,jan_2018
chatelet,6:14,semaine,jan_2018
chatelet,6:20,semaine,jan_2018
chatelet,6:26,semaine,jan_2018
chatelet,6:29,semaine,jan_2018
chatelet,6:35,semaine,jan_2018
chatelet,6:41,semaine,jan_2018
chatelet,6:44,semaine,jan_2018
chatelet,6:50,semaine,jan_2018
chatelet,6:56,semaine,jan_2018
chatelet,6:59,semaine,jan_2018
chatelet,7:05,semaine,jan_2018
chatelet,7:08,semaine,jan_2018
chatelet,7:11,semaine,jan_2018
chatelet,7:14,semaine,jan_2018
chatelet,7:17,semaine,jan_2018
chatelet,7:20,semaine,jan_2018
chatelet,7:23,semaine,jan_2018
chatelet,7:26,semaine,jan_2018
chatelet,7:29,semaine,jan_2018
chatelet,7:32,semaine,jan_2018
chatelet,7:35,semaine,jan_2018
chatelet,7:38,semaine,jan_2018
chatelet,7:41,semaine,jan_2018
chatelet,7:44,semaine,jan_2018
chatelet,7:47,semaine,jan_2018
chatelet,7:50,semaine,jan_2018
chatelet,7:53,semaine,jan_2018
chatelet,7:56,semaine,jan_2018
chatelet,7:59,semaine,jan_2018
chatelet,8:02,semaine,jan_2018
chatelet,8:05,semaine,jan_2018
chatelet,8:08,semaine,jan_2018
chatelet,8:11,semaine,jan_2018
chatelet,8:14,semaine,jan_2018
chatelet,8:17,semaine,jan_2018
chatelet,8:20,semaine,jan_2018
chatelet,8:23,semaine,jan_2018
chatelet,8:26,semaine,jan_2018
chatelet,8:29,semaine,jan_2018
chatelet,8:32,semaine,jan_2018
chatelet,8:35,semaine,jan_2018
chatelet,8:38,semaine,jan_2018
chatelet,8:41,semaine,jan_2018
chatelet,8:44,semaine,jan_2018
chatelet,8:47,semaine,jan_2018
chatelet,8:50,semaine,jan_2018
chatelet,8:53,semaine,jan_2018
chatelet,8:56,semaine,jan_2018
chatelet,8:59,semaine,jan_2018
chatelet,9:02,semaine,jan_2018
chatelet,9:05,semaine,jan_2018
chatelet,9:08,semaine,jan_2018
chatelet,9:11,semaine,jan_2018
chatelet,9:14,semaine,jan_2018
chatelet,9:17,semaine,jan_2018
chatelet,9:20,semaine,jan_2018
chatelet,9:23,semaine,jan_2018
chatelet,9:26,semaine,jan_2018
chatelet,9:32,semaine,jan_2018
chatelet,9:38,semaine,jan_2018
chatelet,9:41,semaine,jan_2018
chatelet,9:47,semaine,jan_2018
chatelet,9:53,semaine,jan_2018
chatelet,9:56,semaine,jan_2018
chatelet,10:02,semaine,jan_2018
chatelet,10:08,semaine,jan_2018
chatelet,10:11,semaine,jan_2018
