station,time,jour
chatelet,5:23,semaine
chatelet,5:29,semaine
chatelet,5:38,semaine
chatelet,5:44,semaine
chatelet,5:50,semaine
chatelet,5:56,semaine
chatelet,5:59,semaine
chatelet,6:05,semaine
chatelet,6:11,semaine
chatelet,6:14,semaine
chatelet,6:20,semaine
chatelet,6:26,semaine
chatelet,6:29,semaine
chatelet,6:35,semaine
chatelet,6:41,semaine
chatelet,6:44,semaine
chatelet,6:50,semaine
chatelet,6:56,semaine
chatelet,6:59,semaine
chatelet,7:05,semaine
chatelet,7:08,semaine
chatelet,7:11,semaine
chatelet,7:14,semaine
chatelet,7:17,semaine
chatelet,7:20,semaine
chatelet,7:23,semaine
chatelet,7:26,semaine
chatelet,7:29,semaine
chatelet,7:32,semaine
chatelet,7:35,semaine
chatelet,7:38,semaine
chatelet,7:41,semaine
chatelet,7:44,semaine
chatelet,7:47,semaine
chatelet,7:50,semaine
chatelet,7:53,semaine
chatelet,7:56,semaine
chatelet,7:59,semaine
chatelet,8:02,semaine
chatelet,8:05,semaine
chatelet,8:08,semaine
chatelet,8:11,semaine
chatelet,8:14,semaine
chatelet,8:17,semaine
chatelet,8:20,semaine
chatelet,8:23,semaine
chatelet,8:26,semaine
chatelet,8:29,semaine
chatelet,8:32,semaine
chatelet,8:35,semaine
chatelet,8:38,semaine
chatelet,8:41,semaine
chatelet,8:44,semaine
chatelet,8:47,semaine
chatelet,8:50,semaine
chatelet,8:53,semaine
chatelet,8:56,semaine
chatelet,8:59,semaine
chatelet,9:02,semaine
chatelet,9:05,semaine
chatelet,9:08,semaine
chatelet,9:11,semaine
chatelet,9:14,semaine
chatelet,9:17,semaine
chatelet,9:20,semaine
chatelet,9:23,semaine
chatelet,9:26,semaine
chatelet,9:29,semaine
chatelet,9:32,semaine
chatelet,9:38,semaine
chatelet,9:41,semaine
chatelet,9:47,semaine
chatelet,9:53,semaine
chatelet,9:56,semaine
chatelet,10:02,semaine
chatelet,10:08,semaine
chatelet,10:11,semaine
chatelet,10:17,semaine
chatelet,10:10,semaine
chatelet,11:11,semaine
chatelet,12:12,semaine
chatelet,14:14,semaine
chatelet,15:15,semaine
chatelet,17:05,semaine
chatelet,17:08,semaine
chatelet,17:11,semaine
chatelet,17:14,semaine
chatelet,17:17,semaine
chatelet,17:20,semaine
chatelet,17:23,semaine
chatelet,17:26,semaine
chatelet,17:29,semaine
chatelet,17:32,semaine
chatelet,17:35,semaine
chatelet,17:38,semaine
chatelet,17:41,semaine
chatelet,17:44,semaine
chatelet,17:47,semaine
chatelet,17:50,semaine
chatelet,17:53,semaine
chatelet,17:56,semaine
chatelet,17:59,semaine
chatelet,18:02,semaine
chatelet,18:05,semaine
chatelet,18:08,semaine
chatelet,18:11,semaine
chatelet,18:14,semaine
chatelet,18:17,semaine
chatelet,18:20,semaine
chatelet,18:23,semaine
chatelet,18:26,semaine
chatelet,18:29,semaine
chatelet,18:32,semaine
chatelet,18:35,semaine
chatelet,18:38,semaine
chatelet,18:41,semaine
chatelet,18:44,semaine
chatelet,18:47,semaine
chatelet,18:50,semaine
chatelet,18:53,semaine
chatelet,18:56,semaine
chatelet,18:59,semaine
chatelet,19:02,semaine
chatelet,19:05,semaine
chatelet,19:08,semaine
chatelet,19:11,semaine
chatelet,19:14,semaine
chatelet,19:17,semaine
chatelet,19:20,semaine
chatelet,19:23,semaine
chatelet,19:26,semaine
chatelet,19:29,semaine
chatelet,19:32,semaine
chatelet,19:35,semaine
chatelet,19:38,semaine
chatelet,19:41,semaine
chatelet,19:44,semaine
chatelet,19:47,semaine
chatelet,19:50,semaine
chatelet,19:53,semaine
chatelet,19:56,semaine
chatelet,19:59,semaine
chatelet,20:02,semaine
chatelet,20:08,semaine
chatelet,20:11,semaine
chatelet,20:17,semaine
chatelet,20:23,semaine
chatelet,20:26,semaine
chatelet,20:32,semaine
chatelet,20:20,semaine
chatelet,21:21,semaine
chatelet,22:38,semaine
chatelet,22:41,semaine
chatelet,22:47,semaine
chatelet,22:53,semaine
chatelet,22:56,semaine
chatelet,23:02,semaine
chatelet,23:08,semaine
chatelet,23:11,semaine
chatelet,23:17,semaine
chatelet,23:23,semaine
chatelet,23:26,semaine
chatelet,23:32,semaine
chatelet,23:38,semaine
chatelet,23:47,semaine
chatelet,23:53,semaine
chatelet,0:02,semaine
chatelet,0:08,semaine
chatelet,0:17,semaine
chatelet,0:29,semaine
chatelet,0:43,semaine
chatelet,0:50,semaine
chatelet,5:23,ferie
chatelet,5:29,ferie
chatelet,5:38,ferie
chatelet,5:44,ferie
chatelet,5:47,ferie
chatelet,5:53,ferie
chatelet,5:59,ferie
chatelet,6:02,ferie
chatelet,6:08,ferie
chatelet,6:14,ferie
chatelet,6:17,ferie
chatelet,6:23,ferie
chatelet,6:29,ferie
chatelet,6:32,ferie
chatelet,6:38,ferie
chatelet,6:41,ferie
chatelet,6:47,ferie
chatelet,6:53,ferie
chatelet,6:56,ferie
chatelet,7:02,ferie
chatelet,7:08,ferie
chatelet,7:11,ferie
chatelet,7:17,ferie
chatelet,7:23,ferie
chatelet,7:26,ferie
chatelet,7:32,ferie
chatelet,7:38,ferie
chatelet,7:41,ferie
chatelet,7:47,ferie
chatelet,7:53,ferie
chatelet,7:56,ferie
chatelet,8:02,ferie
chatelet,8:08,ferie
chatelet,8:11,ferie
chatelet,8:17,ferie
chatelet,8:23,ferie
chatelet,8:26,ferie
chatelet,8:32,ferie
chatelet,8:38,ferie
chatelet,8:41,ferie
chatelet,8:47,ferie
chatelet,8:53,ferie
chatelet,8:56,ferie
chatelet,9:02,ferie
chatelet,9:08,ferie
chatelet,9:11,ferie
chatelet,9:17,ferie
chatelet,9:23,ferie
chatelet,9:26,ferie
chatelet,9:32,ferie
chatelet,9:38,ferie
chatelet,9:41,ferie
chatelet,9:47,ferie
chatelet,9:53,ferie
chatelet,9:56,ferie
chatelet,10:02,ferie
chatelet,10:08,ferie
chatelet,10:11,ferie
chatelet,10:17,ferie
chatelet,10:10,ferie
chatelet,11:26,ferie
chatelet,11:32,ferie
chatelet,11:11,ferie
chatelet,12:56,ferie
chatelet,13:02,ferie
chatelet,13:13,ferie
chatelet,14:26,ferie
chatelet,14:32,ferie
chatelet,14:14,ferie
chatelet,15:56,ferie
chatelet,16:02,ferie
chatelet,16:16,ferie
chatelet,17:26,ferie
chatelet,17:32,ferie
chatelet,17:17,ferie
chatelet,18:56,ferie
chatelet,19:02,ferie
chatelet,19:19,ferie
chatelet,20:26,ferie
chatelet,20:32,ferie
chatelet,20:20,ferie
chatelet,21:56,ferie
chatelet,22:02,ferie
chatelet,22:08,ferie
chatelet,22:11,ferie
chatelet,22:17,ferie
chatelet,22:23,ferie
chatelet,22:26,ferie
chatelet,22:32,ferie
chatelet,22:38,ferie
chatelet,22:41,ferie
chatelet,22:47,ferie
chatelet,22:53,ferie
chatelet,22:56,ferie
chatelet,23:02,ferie
chatelet,23:08,ferie
chatelet,23:11,ferie
chatelet,23:17,ferie
chatelet,23:23,ferie
chatelet,23:26,ferie
chatelet,23:32,ferie
chatelet,23:38,ferie
chatelet,23:47,ferie
chatelet,23:53,ferie
chatelet,0:02,ferie
chatelet,0:08,ferie
chatelet,0:17,ferie
chatelet,0:29,ferie
chatelet,0:43,ferie
chatelet,0:50,ferie
