precipitation,temp_min,temp_max,date
 8, 8,9,01/01/2013
 1.9, 5,7,02/01/2013
 2.3, 9,11,03/01/2013
 0.4, 9,11,04/01/2013
 0.7, 9,11,05/01/2013
 0.4, 8,10,06/01/2013
 0, 5,8,07/01/2013
 0.3, 3,5,08/01/2013
 1, 4,6,09/01/2013
 8.9, 6,10,10/01/2013
 2.2, 2,6,11/01/2013
 2.6, 3,4,12/01/2013
 0.2, 2,3,13/01/2013
 1.6, -1,1,14/01/2013
 4.6, -1,1,15/01/2013
 0, 0,1,16/01/2013
 0, -7,0,17/01/2013
 1.4, -5,0,18/01/2013
 2.8, -3,0,19/01/2013
 10.4, -2,0,20/01/2013
 2.3, -3,1,21/01/2013
 0.7, -2,1,22/01/2013
 0, 0,1,23/01/2013
 0.3, -2,1,24/01/2013
 0, -5,0,25/01/2013
 1.6, 1,4,26/01/2013
 7.8, 3,5,27/01/2013
 0.6, 2,6,28/01/2013
 14.6, 8,10,29/01/2013
 1.9, 11,12,30/01/2013
 0.5, 6,11,31/01/2013
 6.6, 6,10,01/02/2013
 0.5, 4,6,02/02/2013
 2.5, 2,5,03/02/2013
 2.2, 8,10,04/02/2013
 7.6, 4,6,05/02/2013
 2.6, 4,6,06/02/2013
 0.2, 3,5,07/02/2013
 0.7, 0,4,08/02/2013
 3.2, 0,4,09/02/2013
 7.7, 0,2,10/02/2013
 6.4, 2,3,11/02/2013
 0.3, 1,2,12/02/2013
 0.1, 0,1,13/02/2013
 4.3, 1,6,14/02/2013
 0.2, 4,7,15/02/2013
 0, 6,9,16/02/2013
 0, 2,7,17/02/2013
 0, 2,7,18/02/2013
 0, 2,8,19/02/2013
 0, 3,6,20/02/2013
 0, -1,2,21/02/2013
 0, -2,1,22/02/2013
 0, -3,1,23/02/2013
 1.8, 0,3,24/02/2013
 2.1, 0,3,25/02/2013
 1.3, 1,3,26/02/2013
 0.9, 2,4,27/02/2013
 0.3, 2,4,28/02/2013
 0.4, 3,4,01/03/2013
 0, 1,6,02/03/2013
 0, 3,10,03/03/2013
 0, 4,14,04/03/2013
 1.2, 8,12,05/03/2013
 0.9, 9,12,06/03/2013
 1.9, 9,13,07/03/2013
 7, 11,13,08/03/2013
 0, 9,15,09/03/2013
 0.3, 7,10,10/03/2013
 3.6, 3,5,11/03/2013
 11.4, -1,3,12/03/2013
 0.9, -4,3,13/03/2013
 0.5, 1,4,14/03/2013
 0, 1,6,15/03/2013
 1.9, 4,8,16/03/2013
 2.5, 5,9,17/03/2013
 3, 0,6,18/03/2013
 1.9, 1,9,19/03/2013
 3.1, 3,9,20/03/2013
 0.7, 1,10,21/03/2013
 1, 4,13,22/03/2013
 2.9, 4,8,23/03/2013
 0.1, 2,9,24/03/2013
 0, -2,7,25/03/2013
 0, -1,6,26/03/2013
 0, -1,8,27/03/2013
 0.2, -1,7,28/03/2013
 0, -2,8,29/03/2013
 0.1, 0,8,30/03/2013
 0, -2,9,31/03/2013
 0, -2,9,01/04/2013
 0, -3,9,02/04/2013
 0.3, -1,7,03/04/2013
 4.1, 0,8,04/04/2013
 0.3, 1,10,05/04/2013
 0.1, 0,8,06/04/2013
 0, 0,11,07/04/2013
 4, 3,9,08/04/2013
 15.6, 3,11,09/04/2013
 7.8, 7,11,10/04/2013
 4.5, 11,15,11/04/2013
 2.9, 8,14,12/04/2013
 0.5, 5,14,13/04/2013
 0.4, 10,22,14/04/2013
